Kelas,Nama,Perusahaan
0,Crystalline,PT. CS2 Pola Sehat  ( OT GROUP )
1,Vit ,PT. Tirta Investama
2,Aqua,PT. Aqua Golden Mississippi
3,Pocari Sweat,PT. Amerta Indah Otsuka
4,Heviitro,PT. Patna Lestari
5,Nestle Pure Life,PT. Akasha Wira International Tbk
6,Sprite,PT. Coca-cola Bottling Indonesia
7,Pristine,PT. Super Wahana Tehno
8,Coca Cola,PT. Coca-cola Bottling Indonesia
9,Air Mineral Alfamart,PT. Akasha Wira International Tbk
10,Le Minerale,PT. Tirta Fresindo Jaya
11,Teh Botol Sosro,PT. Sinar Sosro Tbk
12,S-tee,PT. Sinar Sosro Tbk
13,Caffino,PT. Sumber Kopi Prima
14,Air Mineral Basic,PT. Pusaka Kali Agung
15,Air Mineral Indomaret,PT. Sariguna Primatirta Tbk
16,Golda Coffe,PT. Tirta Alam Segar
17,Teh Pucuk Harum,PT. Tirta Fresindo Jaya
18,Air Mineral Prima,PT. Sinar Sosro Tbk
19,Mizone,PT.Tirta Investama
20,ABC Kopi Choco Malt,PT. Han Chuan Indonesia
21,Good Day Coffe,PT. Santos Jaya Abadi
22,Cleo,PT. Sariguna Primatirta Tbk
