epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.993,1.00516,9.63546,0.01257,0.37264,0.68122,0.50881,0.4819,0.37868,4.61313,0.00552,0.000364455,0.000364455,0.000364455
2,108.051,0.67316,2.04062,0.00806,0.65913,0.79456,0.763,0.73155,0.35724,1.477,0.00537,0.000727514,0.000727514,0.000727514
3,113.863,0.68147,1.17831,0.00798,0.69764,0.95305,0.77561,0.69817,0.50345,0.86385,0.00842,0.00108324,0.00108324,0.00108324
4,119.708,0.69264,0.9709,0.00817,0.95032,0.92987,0.995,0.91536,0.42967,0.40986,0.00657,0.001078,0.001078,0.001078
5,125.379,0.68979,0.85425,0.00801,0.92679,0.91798,0.995,0.90991,0.46275,0.34109,0.00736,0.001067,0.001067,0.001067
6,131.019,0.68151,0.73589,0.00821,0.85864,0.94521,0.995,0.94115,0.38346,0.38667,0.00577,0.00105601,0.00105601,0.00105601
7,136.775,0.64864,0.66785,0.0076,0.96908,0.95857,0.995,0.94185,0.38041,0.23202,0.00597,0.00104501,0.00104501,0.00104501
8,142.613,0.62429,0.5869,0.00745,0.96451,0.97442,0.995,0.9465,0.35745,0.20375,0.00537,0.00103401,0.00103401,0.00103401
9,148.323,0.63292,0.56576,0.0075,0.83755,0.98453,0.9915,0.96186,0.33509,0.29547,0.0047,0.00102301,0.00102301,0.00102301
10,154.106,0.62266,0.53411,0.00722,0.94853,0.98747,0.995,0.95683,0.36166,0.18666,0.00546,0.00101201,0.00101201,0.00101201
11,159.803,0.61723,0.52356,0.00719,0.94628,0.96803,0.995,0.935,0.36246,0.23309,0.00602,0.00100101,0.00100101,0.00100101
12,165.56,0.58824,0.48917,0.00661,0.95262,0.95551,0.995,0.91272,0.43692,0.24651,0.00597,0.000990012,0.000990012,0.000990012
13,171.239,0.57645,0.47151,0.00674,0.95846,0.99042,0.995,0.93046,0.35386,0.18312,0.00509,0.000979013,0.000979013,0.000979013
14,176.906,0.57702,0.46202,0.00666,0.97691,0.9834,0.995,0.93599,0.38278,0.15947,0.00549,0.000968014,0.000968014,0.000968014
15,182.55,0.57649,0.4495,0.00672,0.98436,1,0.995,0.9134,0.40792,0.16312,0.00601,0.000957015,0.000957015,0.000957015
16,188.374,0.57097,0.42823,0.00695,0.94077,1,0.995,0.93704,0.36169,0.14335,0.00497,0.000946016,0.000946016,0.000946016
17,194.064,0.55743,0.45253,0.00654,0.95632,0.93861,0.99043,0.93945,0.36556,0.25364,0.0052,0.000935018,0.000935018,0.000935018
18,199.735,0.56434,0.43242,0.00662,0.96215,0.96014,0.995,0.9482,0.3073,0.14974,0.00434,0.000924019,0.000924019,0.000924019
19,205.342,0.55316,0.44755,0.00642,0.96795,0.947,0.995,0.92925,0.42444,0.20974,0.00626,0.00091302,0.00091302,0.00091302
20,211.118,0.54308,0.40909,0.00634,0.97085,0.97953,0.995,0.93269,0.3535,0.13239,0.00501,0.000902021,0.000902021,0.000902021
21,216.782,0.56466,0.39906,0.00647,0.97298,0.97963,0.995,0.93973,0.39011,0.14817,0.00531,0.000891022,0.000891022,0.000891022
22,222.42,0.55121,0.39562,0.0065,0.95522,1,0.995,0.95745,0.37825,0.12912,0.00606,0.000880023,0.000880023,0.000880023
23,228.081,0.53337,0.39034,0.0061,0.95705,0.98779,0.995,0.94569,0.36355,0.13444,0.00532,0.000869024,0.000869024,0.000869024
24,233.822,0.52408,0.42107,0.00602,0.97813,0.97716,0.995,0.90957,0.43397,0.18027,0.0071,0.000858025,0.000858025,0.000858025
25,239.457,0.51635,0.38777,0.0061,0.98055,0.97708,0.995,0.94516,0.36661,0.1471,0.00539,0.000847026,0.000847026,0.000847026
26,245.112,0.52745,0.37344,0.0062,0.9744,1,0.995,0.94595,0.35648,0.11968,0.00518,0.000836027,0.000836027,0.000836027
27,250.782,0.54068,0.38756,0.00629,0.97678,0.97209,0.995,0.95234,0.35137,0.13354,0.00537,0.000825029,0.000825029,0.000825029
28,256.537,0.51845,0.38906,0.00584,0.98065,0.90701,0.995,0.94074,0.32871,0.18743,0.00462,0.00081403,0.00081403,0.00081403
29,262.204,0.5153,0.38892,0.00583,0.96247,0.97876,0.995,0.95595,0.33687,0.14668,0.00473,0.000803031,0.000803031,0.000803031
