epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.675,0.85903,9.60746,0.01602,0.43105,0.40139,0.40831,0.35546,0.54079,3.61866,0.01335,0.000325926,0.000325926,0.000325926
2,111.028,0.70679,3.06183,0.01292,0.28028,0.77004,0.4682,0.40753,0.57737,1.32393,0.01482,0.000652733,0.000652733,0.000652733
3,115.392,0.72477,1.859,0.01345,0.32414,0.63236,0.58975,0.5311,0.58419,1.23671,0.01551,0.000972939,0.000972939,0.000972939
4,119.708,0.73659,1.53806,0.01394,0.40619,0.83767,0.61059,0.51742,0.70397,0.96889,0.02015,0.0009703,0.0009703,0.0009703
5,124.007,0.74159,1.26355,0.01346,0.62552,0.83111,0.87516,0.72912,0.6589,0.73515,0.01757,0.0009604,0.0009604,0.0009604
6,128.265,0.72497,1.04679,0.01385,0.7796,0.79139,0.90029,0.80319,0.51684,0.5775,0.01336,0.0009505,0.0009505,0.0009505
7,132.541,0.68492,0.92709,0.0128,0.88454,0.70711,0.87941,0.74537,0.64565,0.68833,0.01608,0.0009406,0.0009406,0.0009406
8,136.838,0.69948,0.88967,0.01306,0.81572,0.89557,0.96066,0.87021,0.5437,0.54018,0.01379,0.0009307,0.0009307,0.0009307
9,141.1,0.68142,0.77042,0.01258,0.87241,0.8939,0.92218,0.80669,0.5631,0.37746,0.0139,0.0009208,0.0009208,0.0009208
10,145.314,0.71078,0.70311,0.01317,0.8029,0.98646,0.96062,0.84878,0.55627,0.37522,0.01386,0.0009109,0.0009109,0.0009109
11,149.508,0.7072,0.63783,0.01338,0.96667,0.95495,0.97714,0.85147,0.57514,0.27361,0.01431,0.000901,0.000901,0.000901
12,153.834,0.70368,0.57766,0.01342,0.87952,0.93195,0.97711,0.82379,0.7086,0.41311,0.01877,0.0008911,0.0008911,0.0008911
13,158.024,0.65816,0.55832,0.01232,0.91722,1,0.98667,0.82714,0.65834,0.26116,0.01848,0.0008812,0.0008812,0.0008812
14,162.233,0.66559,0.55602,0.01245,0.93858,0.95443,0.99037,0.86828,0.57526,0.29944,0.01493,0.0008713,0.0008713,0.0008713
15,166.456,0.62684,0.47449,0.01138,0.98014,0.98081,0.995,0.8909,0.52489,0.17549,0.01335,0.0008614,0.0008614,0.0008614
16,170.839,0.67058,0.5314,0.01252,0.97795,0.92961,0.995,0.88644,0.51822,0.21914,0.01287,0.0008515,0.0008515,0.0008515
17,175.052,0.66532,0.49672,0.01252,0.93794,0.9957,0.995,0.90335,0.52291,0.20707,0.01294,0.0008416,0.0008416,0.0008416
18,179.326,0.65991,0.47452,0.01217,0.97204,0.99814,0.995,0.86573,0.54633,0.16904,0.01382,0.0008317,0.0008317,0.0008317
19,183.519,0.6616,0.44929,0.01248,0.94087,1,0.98667,0.88559,0.53667,0.20047,0.0139,0.0008218,0.0008218,0.0008218
20,187.85,0.66048,0.42482,0.01255,0.98024,0.9459,0.99119,0.88855,0.53663,0.19499,0.01408,0.0008119,0.0008119,0.0008119
21,192.05,0.63245,0.42284,0.01202,0.97056,0.99119,0.995,0.87549,0.52447,0.18992,0.0126,0.000802,0.000802,0.000802
22,196.234,0.63353,0.41219,0.01161,0.94437,0.988,0.995,0.89501,0.51643,0.22034,0.01276,0.0007921,0.0007921,0.0007921
23,200.425,0.62608,0.40138,0.01155,0.97436,0.99906,0.995,0.88097,0.49447,0.17205,0.01234,0.0007822,0.0007822,0.0007822
