2026-05-21 07:35:42  INFO  ========================================================================
2026-05-21 07:35:42  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-17---22--1
2026-05-21 07:35:42  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-17---22--1/data.yaml
2026-05-21 07:35:42  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-17---22--1
2026-05-21 07:35:42  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-17---22--1/train-20260521-073542.log
2026-05-21 07:35:42  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-05-21 07:35:42  INFO  epochs=100  patience=20  imgsz=640  batch=0.7  cache=disk  workers=6
2026-05-21 07:35:42  INFO  ========================================================================
2026-05-21 07:35:42  INFO  starting fresh from /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-15---16--1/weights/best.pt
2026-05-21 07:37:34  INFO  epoch   1/100  mAP50=0.4083  mAP50-95=0.3555  P=0.4310  R=0.4014
2026-05-21 07:37:39  INFO  epoch   2/100  mAP50=0.4682  mAP50-95=0.4075  P=0.2803  R=0.7700
2026-05-21 07:37:43  INFO  epoch   3/100  mAP50=0.5897  mAP50-95=0.5311  P=0.3241  R=0.6324
2026-05-21 07:37:47  INFO  epoch   4/100  mAP50=0.6106  mAP50-95=0.5174  P=0.4062  R=0.8377
2026-05-21 07:37:52  INFO  epoch   5/100  mAP50=0.8752  mAP50-95=0.7291  P=0.6255  R=0.8311
2026-05-21 07:37:56  INFO  epoch   6/100  mAP50=0.9003  mAP50-95=0.8032  P=0.7796  R=0.7914
2026-05-21 07:38:00  INFO  epoch   7/100  mAP50=0.8794  mAP50-95=0.7454  P=0.8845  R=0.7071
2026-05-21 07:38:05  INFO  epoch   8/100  mAP50=0.9607  mAP50-95=0.8702  P=0.8157  R=0.8956
2026-05-21 07:38:09  INFO  epoch   9/100  mAP50=0.9222  mAP50-95=0.8067  P=0.8724  R=0.8939
2026-05-21 07:38:13  INFO  epoch  10/100  mAP50=0.9606  mAP50-95=0.8488  P=0.8029  R=0.9865
2026-05-21 07:38:17  INFO  epoch  11/100  mAP50=0.9771  mAP50-95=0.8515  P=0.9667  R=0.9549
2026-05-21 07:38:22  INFO  epoch  12/100  mAP50=0.9771  mAP50-95=0.8238  P=0.8795  R=0.9319
2026-05-21 07:38:26  INFO  epoch  13/100  mAP50=0.9867  mAP50-95=0.8271  P=0.9172  R=1.0000
2026-05-21 07:38:30  INFO  epoch  14/100  mAP50=0.9904  mAP50-95=0.8683  P=0.9386  R=0.9544
2026-05-21 07:38:34  INFO  epoch  15/100  mAP50=0.9950  mAP50-95=0.8909  P=0.9801  R=0.9808
2026-05-21 07:38:39  INFO  epoch  16/100  mAP50=0.9950  mAP50-95=0.8864  P=0.9779  R=0.9296
2026-05-21 07:38:43  INFO  epoch  17/100  mAP50=0.9950  mAP50-95=0.9033  P=0.9379  R=0.9957
2026-05-21 07:38:47  INFO  epoch  18/100  mAP50=0.9950  mAP50-95=0.8657  P=0.9720  R=0.9981
2026-05-21 07:38:51  INFO  epoch  19/100  mAP50=0.9867  mAP50-95=0.8856  P=0.9409  R=1.0000
2026-05-21 07:38:56  INFO  epoch  20/100  mAP50=0.9912  mAP50-95=0.8885  P=0.9802  R=0.9459
2026-05-21 07:39:00  INFO  epoch  21/100  mAP50=0.9950  mAP50-95=0.8755  P=0.9706  R=0.9912
2026-05-21 07:39:04  INFO  epoch  22/100  mAP50=0.9950  mAP50-95=0.8950  P=0.9444  R=0.9880
2026-05-21 07:39:08  INFO  epoch  23/100  mAP50=0.9950  mAP50-95=0.8810  P=0.9744  R=0.9991
2026-05-21 07:39:12  INFO  epoch  24/100  mAP50=0.9950  mAP50-95=0.8862  P=0.9623  R=0.9866
2026-05-21 07:39:17  INFO  epoch  25/100  mAP50=0.9950  mAP50-95=0.8990  P=0.9856  R=0.9758
2026-05-21 07:39:21  INFO  epoch  26/100  mAP50=0.9950  mAP50-95=0.8953  P=0.9508  R=0.9791
2026-05-21 07:39:25  INFO  epoch  27/100  mAP50=0.9950  mAP50-95=0.8611  P=0.9748  R=1.0000
2026-05-21 07:39:29  INFO  epoch  28/100  mAP50=0.9950  mAP50-95=0.8952  P=0.9888  R=1.0000
2026-05-21 07:39:34  INFO  epoch  29/100  mAP50=0.9950  mAP50-95=0.8727  P=0.9509  R=0.9454
2026-05-21 07:39:38  INFO  epoch  30/100  mAP50=0.9950  mAP50-95=0.9099  P=0.9888  R=1.0000
2026-05-21 07:39:42  INFO  epoch  31/100  mAP50=0.9950  mAP50-95=0.8951  P=0.9673  R=1.0000
2026-05-21 07:39:46  INFO  epoch  32/100  mAP50=0.9950  mAP50-95=0.9087  P=0.9555  R=1.0000
2026-05-21 07:39:51  INFO  epoch  33/100  mAP50=0.9867  mAP50-95=0.9124  P=0.9711  R=0.9499
2026-05-21 07:39:55  INFO  epoch  34/100  mAP50=0.9783  mAP50-95=0.8622  P=0.9304  R=0.9389
2026-05-21 07:39:59  INFO  epoch  35/100  mAP50=0.9950  mAP50-95=0.8840  P=0.9200  R=0.9682
2026-05-21 07:40:04  INFO  epoch  36/100  mAP50=0.9950  mAP50-95=0.9041  P=0.9595  R=0.9925
2026-05-21 07:40:08  INFO  epoch  37/100  mAP50=0.9950  mAP50-95=0.8969  P=0.9477  R=0.9785
2026-05-21 07:40:12  INFO  epoch  38/100  mAP50=0.9950  mAP50-95=0.9161  P=0.9781  R=0.9819
2026-05-21 07:40:16  INFO  epoch  39/100  mAP50=0.9950  mAP50-95=0.8920  P=0.9781  R=0.9931
2026-05-21 07:40:21  INFO  epoch  40/100  mAP50=0.9950  mAP50-95=0.8989  P=0.9635  R=0.9815
2026-05-21 07:40:25  INFO  epoch  41/100  mAP50=0.9950  mAP50-95=0.8912  P=0.9532  R=0.9921
2026-05-21 07:40:29  INFO  epoch  42/100  mAP50=0.9950  mAP50-95=0.9174  P=0.9683  R=0.9682
2026-05-21 07:40:33  INFO  epoch  43/100  mAP50=0.9950  mAP50-95=0.9064  P=0.9569  R=0.9784
2026-05-21 07:40:38  INFO  epoch  44/100  mAP50=0.9950  mAP50-95=0.9016  P=0.9834  R=1.0000
2026-05-21 07:40:42  INFO  epoch  45/100  mAP50=0.9950  mAP50-95=0.8844  P=0.9734  R=0.9925
2026-05-21 07:40:46  INFO  epoch  46/100  mAP50=0.9950  mAP50-95=0.8910  P=0.9925  R=0.9645
2026-05-21 07:40:50  INFO  epoch  47/100  mAP50=0.9950  mAP50-95=0.9181  P=0.9852  R=1.0000
2026-05-21 07:40:55  INFO  epoch  48/100  mAP50=0.9950  mAP50-95=0.8981  P=0.9858  R=0.9768
2026-05-21 07:40:59  INFO  epoch  49/100  mAP50=0.9950  mAP50-95=0.8856  P=0.9776  R=0.9926
2026-05-21 07:41:03  INFO  epoch  50/100  mAP50=0.9950  mAP50-95=0.8958  P=0.9768  R=0.9547
2026-05-21 07:41:07  INFO  epoch  51/100  mAP50=0.9950  mAP50-95=0.8892  P=0.9880  R=1.0000
2026-05-21 07:41:12  INFO  epoch  52/100  mAP50=0.9950  mAP50-95=0.9015  P=0.9852  R=1.0000
2026-05-21 07:41:16  INFO  epoch  53/100  mAP50=0.9950  mAP50-95=0.8911  P=0.9649  R=0.9684
2026-05-21 07:41:20  INFO  epoch  54/100  mAP50=0.9950  mAP50-95=0.9028  P=0.9828  R=0.9871
2026-05-21 07:41:24  INFO  epoch  55/100  mAP50=0.9950  mAP50-95=0.8982  P=0.9805  R=0.9956
2026-05-21 07:41:29  INFO  epoch  56/100  mAP50=0.9950  mAP50-95=0.9117  P=0.9750  R=1.0000
2026-05-21 07:41:33  INFO  epoch  57/100  mAP50=0.9950  mAP50-95=0.9024  P=0.9839  R=1.0000
2026-05-21 07:41:37  INFO  epoch  58/100  mAP50=0.9950  mAP50-95=0.8896  P=0.9861  R=0.9838
2026-05-21 07:41:41  INFO  epoch  59/100  mAP50=0.9950  mAP50-95=0.8967  P=0.9633  R=0.9861
2026-05-21 07:41:45  INFO  epoch  60/100  mAP50=0.9950  mAP50-95=0.8781  P=0.9816  R=0.9668
2026-05-21 07:41:50  INFO  epoch  61/100  mAP50=0.9950  mAP50-95=0.8913  P=0.9604  R=0.9949
2026-05-21 07:41:54  INFO  epoch  62/100  mAP50=0.9950  mAP50-95=0.9155  P=0.9787  R=0.9946
2026-05-21 07:41:58  INFO  epoch  63/100  mAP50=0.9950  mAP50-95=0.9076  P=0.9916  R=0.9890
2026-05-21 07:42:02  INFO  epoch  64/100  mAP50=0.9950  mAP50-95=0.9087  P=0.9872  R=1.0000
2026-05-21 07:42:07  INFO  epoch  65/100  mAP50=0.9950  mAP50-95=0.9050  P=0.9922  R=0.9630
2026-05-21 07:42:11  INFO  epoch  66/100  mAP50=0.9950  mAP50-95=0.8982  P=0.9852  R=0.9771
2026-05-21 07:42:15  INFO  epoch  67/100  mAP50=0.9950  mAP50-95=0.8951  P=0.9853  R=0.9983
2026-05-21 07:42:15  INFO  early stopping triggered at epoch 67 (best epoch 47)
2026-05-21 07:42:18  INFO  epoch  67/100  mAP50=0.9950  mAP50-95=0.9128  P=0.9852  R=1.0000
2026-05-21 07:42:18  INFO  early stopping triggered at epoch 67 (best epoch 47)
2026-05-21 07:42:19  INFO  training finished -- best weights: /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-17---22--1/weights/best.pt
2026-05-21 07:42:19  INFO  training complete -- running final validation on the test split
2026-05-21 07:42:19  INFO  ========================================================================
