epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6352,0.93635,9.32988,0.01798,0.18043,0.40048,0.29001,0.24215,0.63362,4.80753,0.01732,0.0003636,0.0003636,0.0003636
2,65.9439,0.92964,2.79352,0.01869,0.70727,0.79358,0.82689,0.64295,0.91873,1.15291,0.02623,0.000726667,0.000726667,0.000726667
3,71.2078,0.9856,1.66039,0.02023,0.48168,0.61522,0.6317,0.48602,0.90487,1.37395,0.02826,0.0010824,0.0010824,0.0010824
4,76.3296,1.02872,1.35126,0.02147,0.72982,0.76034,0.82438,0.59923,1.04035,0.99856,0.03276,0.001078,0.001078,0.001078
5,81.5218,0.98623,1.10821,0.02097,0.84052,0.76023,0.90977,0.5855,1.26251,0.97086,0.03919,0.001067,0.001067,0.001067
6,86.6553,0.9591,1.00866,0.02039,0.95645,0.90879,0.98356,0.81773,0.70398,0.37797,0.01993,0.00105601,0.00105601,0.00105601
7,91.9076,0.95978,0.94107,0.0201,0.79729,0.96392,0.9654,0.74679,0.92383,0.53743,0.02864,0.00104501,0.00104501,0.00104501
8,97.1573,0.91659,0.9088,0.0188,0.87757,0.83876,0.95419,0.76161,0.92129,0.49295,0.02943,0.00103401,0.00103401,0.00103401
9,102.263,0.8857,0.82211,0.01784,0.86817,0.92926,0.93698,0.7291,0.89647,0.58163,0.02784,0.00102301,0.00102301,0.00102301
10,107.412,0.90194,0.75003,0.01862,0.82305,0.84954,0.9395,0.65263,1.21524,0.59668,0.03817,0.00101201,0.00101201,0.00101201
11,112.587,0.87162,0.71749,0.01811,0.91894,0.92949,0.98612,0.80661,0.79945,0.40847,0.02433,0.00100101,0.00100101,0.00100101
12,117.727,0.80211,0.6414,0.01583,0.92456,1,0.995,0.78323,0.90857,0.31266,0.02848,0.000990012,0.000990012,0.000990012
13,122.941,0.80972,0.62676,0.01592,0.89958,0.98556,0.9908,0.85535,0.58838,0.2732,0.01618,0.000979013,0.000979013,0.000979013
14,128.174,0.77079,0.63561,0.0155,0.93559,0.97349,0.99238,0.80728,0.75472,0.32911,0.02185,0.000968014,0.000968014,0.000968014
15,133.307,0.79458,0.64112,0.01564,0.96412,0.96554,0.995,0.835,0.68496,0.26201,0.02082,0.000957015,0.000957015,0.000957015
16,138.516,0.76365,0.56557,0.01539,0.92047,0.99472,0.99233,0.84604,0.71453,0.24368,0.02059,0.000946016,0.000946016,0.000946016
17,143.646,0.75611,0.56521,0.01536,0.95524,0.97403,0.9928,0.84053,0.63558,0.26163,0.01593,0.000935018,0.000935018,0.000935018
18,148.796,0.75689,0.55022,0.01544,0.96712,0.95292,0.98806,0.86031,0.5884,0.27972,0.01622,0.000924019,0.000924019,0.000924019
19,154.028,0.75306,0.54245,0.01502,0.90376,0.99579,0.99066,0.8361,0.71894,0.30974,0.02044,0.00091302,0.00091302,0.00091302
20,159.258,0.72131,0.52005,0.01462,0.98057,0.97854,0.995,0.84776,0.6339,0.20163,0.0159,0.000902021,0.000902021,0.000902021
21,164.394,0.70906,0.51874,0.0135,0.90593,0.9094,0.96596,0.82124,0.66516,0.39266,0.01912,0.000891022,0.000891022,0.000891022
22,169.542,0.73436,0.52063,0.01441,0.9747,0.98539,0.995,0.84537,0.69828,0.20983,0.02072,0.000880023,0.000880023,0.000880023
23,174.716,0.74511,0.55126,0.01432,0.93033,0.94033,0.98795,0.86091,0.57533,0.29595,0.01607,0.000869024,0.000869024,0.000869024
24,180.048,0.71616,0.53015,0.014,0.8768,0.99161,0.97155,0.78742,0.77888,0.43374,0.02322,0.000858025,0.000858025,0.000858025
25,185.199,0.70917,0.51249,0.01374,0.97513,0.94684,0.99233,0.85991,0.59349,0.23323,0.01607,0.000847026,0.000847026,0.000847026
26,190.35,0.67406,0.47437,0.01316,0.97885,0.98619,0.995,0.88572,0.57758,0.20497,0.01587,0.000836027,0.000836027,0.000836027
27,195.659,0.68814,0.4882,0.01344,0.94337,0.94885,0.9928,0.80597,0.78603,0.35087,0.02373,0.000825029,0.000825029,0.000825029
28,200.826,0.67575,0.43997,0.01324,0.97372,0.92559,0.988,0.86345,0.59226,0.27369,0.01718,0.00081403,0.00081403,0.00081403
29,205.986,0.68753,0.43537,0.01317,0.97528,0.98841,0.995,0.79863,0.74721,0.23485,0.02345,0.000803031,0.000803031,0.000803031
30,211.164,0.67304,0.42696,0.01306,0.97657,0.99454,0.995,0.79634,0.80894,0.23533,0.02283,0.000792032,0.000792032,0.000792032
