epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.864,0.76765,7.32976,0.01295,0.60255,0.09824,0.10453,0.09221,0.585,10.943,0.01404,0.000122826,0.000122826,0.000122826
2,415.103,0.73165,5.72825,0.01234,0.46444,0.47517,0.46957,0.42074,0.51826,8.01578,0.01236,0.000243722,0.000243722,0.000243722
3,808.791,0.74854,4.15675,0.01253,0.64677,0.74166,0.83097,0.74168,0.52843,5.55666,0.01269,0.000362177,0.000362177,0.000362177
4,825.805,0.72005,3.0716,0.0122,0.7096,0.92327,0.93222,0.8432,0.47328,3.77808,0.01105,0.000359011,0.000359011,0.000359011
5,841.098,0.71534,2.32033,0.01204,0.79547,0.87245,0.94273,0.86234,0.47378,2.74991,0.0107,0.000355348,0.000355348,0.000355348
6,858.647,0.69077,1.83872,0.01145,0.82824,0.90875,0.94826,0.8572,0.52284,1.95232,0.01174,0.000351685,0.000351685,0.000351685
7,874.301,0.65623,1.50771,0.01091,0.8665,0.91413,0.97075,0.87859,0.47278,1.52751,0.01128,0.000348022,0.000348022,0.000348022
8,897.524,0.65665,1.27035,0.01091,0.89592,0.8776,0.96624,0.88733,0.43801,1.23873,0.01002,0.000344359,0.000344359,0.000344359
9,915.482,0.63744,1.09514,0.01062,0.91841,0.89497,0.9764,0.90176,0.45278,1.00895,0.01103,0.000340696,0.000340696,0.000340696
10,931.909,0.63021,0.98081,0.01046,0.8886,0.97164,0.9911,0.89711,0.44558,0.765,0.01041,0.000337033,0.000337033,0.000337033
11,113.932,0.63034,0.90335,0.0103,0.92514,0.96994,0.99041,0.90996,0.41351,0.66555,0.01001,0.00033337,0.00033337,0.00033337
12,128.712,0.60687,0.81097,0.01012,0.93256,0.96145,0.99117,0.91833,0.40256,0.58887,0.00882,0.000329707,0.000329707,0.000329707
13,142.795,0.60766,0.73492,0.0099,0.95203,0.9644,0.99279,0.91925,0.4255,0.46528,0.00993,0.000326044,0.000326044,0.000326044
14,156.898,0.58639,0.6667,0.00975,0.96597,0.95338,0.99387,0.92353,0.41247,0.41403,0.00976,0.000322381,0.000322381,0.000322381
15,171.017,0.59281,0.64117,0.00981,0.96395,0.96608,0.995,0.92304,0.39898,0.34747,0.00901,0.000318718,0.000318718,0.000318718
16,185,0.58539,0.59537,0.00951,0.95106,0.95085,0.99213,0.91484,0.41419,0.35142,0.00972,0.000315055,0.000315055,0.000315055
17,199.225,0.55628,0.5626,0.00904,0.97793,0.94485,0.99157,0.90347,0.44641,0.33261,0.01046,0.000311392,0.000311392,0.000311392
18,213.256,0.5576,0.52596,0.00909,0.96278,0.96016,0.99401,0.90864,0.4324,0.3063,0.00986,0.000307729,0.000307729,0.000307729
19,227.442,0.55169,0.50748,0.00905,0.96439,0.95394,0.99326,0.91975,0.40125,0.26996,0.00931,0.000304066,0.000304066,0.000304066
20,241.5,0.54437,0.49375,0.00881,0.95639,0.96899,0.99453,0.91351,0.40791,0.24026,0.0091,0.000300403,0.000300403,0.000300403
21,255.59,0.57588,0.50929,0.00948,0.95813,0.94352,0.99219,0.92977,0.36696,0.25429,0.0083,0.00029674,0.00029674,0.00029674
22,269.782,0.56681,0.49016,0.00926,0.96844,0.95086,0.9915,0.91961,0.40158,0.2662,0.00906,0.000293077,0.000293077,0.000293077
23,283.835,0.56781,0.47964,0.00924,0.9658,0.96463,0.99478,0.91226,0.42543,0.22953,0.0099,0.000289414,0.000289414,0.000289414
24,297.928,0.55805,0.47987,0.00893,0.96628,0.98011,0.99424,0.93035,0.37333,0.18914,0.00871,0.000285751,0.000285751,0.000285751
25,312.253,0.56184,0.44766,0.0092,0.91213,0.99224,0.99401,0.92156,0.37281,0.18102,0.00821,0.000282088,0.000282088,0.000282088
26,326.479,0.54229,0.43542,0.00876,0.93863,0.98907,0.995,0.92921,0.37273,0.19991,0.00821,0.000278425,0.000278425,0.000278425
27,340.584,0.53738,0.42836,0.00864,0.97523,0.983,0.99452,0.92919,0.38188,0.1748,0.00879,0.000274762,0.000274762,0.000274762
28,354.632,0.53499,0.42225,0.00863,0.95791,0.97222,0.99386,0.91967,0.40126,0.20673,0.00915,0.000271099,0.000271099,0.000271099
29,368.771,0.52999,0.43361,0.00849,0.97615,0.97679,0.995,0.91786,0.40023,0.16898,0.00935,0.000267436,0.000267436,0.000267436
30,383.032,0.53435,0.42617,0.00859,0.97744,0.97939,0.99467,0.92325,0.38737,0.1602,0.00895,0.000263773,0.000263773,0.000263773
31,397.098,0.53305,0.41941,0.00844,0.97177,0.98326,0.995,0.91401,0.40439,0.16942,0.00932,0.00026011,0.00026011,0.00026011
32,411.26,0.5228,0.39905,0.00846,0.93834,0.9901,0.99452,0.92146,0.39355,0.16729,0.00878,0.000256447,0.000256447,0.000256447
33,425.52,0.51693,0.40399,0.00841,0.97274,0.98246,0.995,0.92122,0.39655,0.17178,0.00895,0.000252784,0.000252784,0.000252784
34,439.608,0.51603,0.39624,0.00835,0.95525,0.9764,0.99446,0.91993,0.39461,0.17247,0.00919,0.000249121,0.000249121,0.000249121
35,453.85,0.51115,0.38269,0.00807,0.98237,0.97617,0.995,0.9199,0.39218,0.15392,0.00888,0.000245458,0.000245458,0.000245458
36,468.087,0.50031,0.36731,0.00804,0.95653,0.98381,0.99478,0.92042,0.39279,0.17009,0.00874,0.000241795,0.000241795,0.000241795
37,482.367,0.50638,0.37576,0.00809,0.98232,0.99071,0.995,0.93216,0.35028,0.13506,0.00759,0.000238132,0.000238132,0.000238132
38,496.53,0.49832,0.37209,0.00805,0.98,0.98478,0.995,0.92988,0.38198,0.15227,0.00867,0.000234469,0.000234469,0.000234469
39,510.74,0.49898,0.37725,0.00797,0.96843,0.98992,0.995,0.92501,0.38879,0.1408,0.00877,0.000230806,0.000230806,0.000230806
40,524.862,0.49135,0.36932,0.00789,0.93015,0.99902,0.995,0.92146,0.3975,0.1626,0.00908,0.000227143,0.000227143,0.000227143
41,539.116,0.48993,0.34782,0.00786,0.95324,0.98693,0.995,0.9281,0.36196,0.14348,0.00801,0.00022348,0.00022348,0.00022348
42,553.315,0.49003,0.35835,0.00786,0.97758,0.98548,0.995,0.92332,0.39446,0.14758,0.00922,0.000219817,0.000219817,0.000219817
43,567.52,0.47187,0.33969,0.00745,0.97535,0.96493,0.995,0.93085,0.37377,0.15167,0.00817,0.000216154,0.000216154,0.000216154
44,581.734,0.48133,0.32403,0.00779,0.96816,0.97583,0.99453,0.93335,0.36837,0.15888,0.0084,0.000212491,0.000212491,0.000212491
45,595.967,0.46771,0.33014,0.00751,0.97334,0.97781,0.995,0.93287,0.3678,0.142,0.00824,0.000208828,0.000208828,0.000208828
46,610.121,0.47149,0.33613,0.00748,0.97806,0.97387,0.99478,0.93352,0.36609,0.14304,0.00816,0.000205165,0.000205165,0.000205165
47,624.417,0.46598,0.3258,0.00745,0.9837,0.98292,0.99467,0.92065,0.37201,0.13848,0.00836,0.000201502,0.000201502,0.000201502
48,638.76,0.46144,0.31204,0.0073,0.97125,0.97927,0.995,0.9293,0.36511,0.14565,0.00804,0.000197839,0.000197839,0.000197839
49,653.007,0.46345,0.31626,0.00742,0.96843,0.98866,0.99453,0.92292,0.3813,0.16773,0.00871,0.000194176,0.000194176,0.000194176
50,667.093,0.4651,0.32293,0.00733,0.97851,0.97282,0.995,0.93308,0.36359,0.13172,0.00805,0.000190513,0.000190513,0.000190513
51,681.3,0.45802,0.31632,0.00728,0.97722,0.96531,0.99322,0.93477,0.35878,0.14274,0.0079,0.00018685,0.00018685,0.00018685
52,695.367,0.45283,0.30453,0.00712,0.96101,0.98321,0.99355,0.92675,0.36595,0.14878,0.00819,0.000183187,0.000183187,0.000183187
53,709.802,0.45035,0.3056,0.00714,0.95679,0.99011,0.99401,0.93546,0.35674,0.14354,0.00794,0.000179524,0.000179524,0.000179524
54,724.02,0.4492,0.304,0.00708,0.96614,0.98661,0.99355,0.9276,0.37179,0.13083,0.00813,0.000175861,0.000175861,0.000175861
55,738.259,0.44663,0.30791,0.00706,0.98233,0.98169,0.995,0.93212,0.3641,0.14851,0.00798,0.000172198,0.000172198,0.000172198
56,752.448,0.44698,0.30744,0.00718,0.98751,0.97768,0.995,0.93159,0.35947,0.1322,0.00791,0.000168535,0.000168535,0.000168535
57,766.654,0.45353,0.30828,0.00706,0.97271,0.98974,0.995,0.93101,0.35813,0.1245,0.00783,0.000164872,0.000164872,0.000164872
58,780.857,0.43452,0.28684,0.00685,0.96857,0.99484,0.995,0.93725,0.34303,0.12119,0.00747,0.000161209,0.000161209,0.000161209
59,795.135,0.43593,0.29176,0.00679,0.97841,0.98401,0.995,0.9283,0.36569,0.13625,0.00799,0.000157546,0.000157546,0.000157546
60,809.229,0.43151,0.29493,0.00686,0.97216,0.97584,0.99365,0.92622,0.36209,0.14615,0.00788,0.000153883,0.000153883,0.000153883
61,823.415,0.4363,0.31093,0.007,0.97763,0.98888,0.995,0.93037,0.36473,0.13369,0.00797,0.00015022,0.00015022,0.00015022
62,837.633,0.41947,0.28425,0.00667,0.98678,0.98209,0.995,0.94059,0.35549,0.14587,0.0077,0.000146557,0.000146557,0.000146557
63,851.854,0.42899,0.29158,0.00674,0.9844,0.98997,0.995,0.9368,0.36439,0.11683,0.00804,0.000142894,0.000142894,0.000142894
64,866.083,0.42322,0.2923,0.00658,0.97981,0.96898,0.99401,0.9274,0.37079,0.14293,0.00808,0.000139231,0.000139231,0.000139231
