2026-07-02 08:29:40  INFO  ========================================================================
2026-07-02 08:29:40  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/merged
2026-07-02 08:29:40  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/merged/data.yaml
2026-07-02 08:29:40  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-merged
2026-07-02 08:29:40  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-merged/train-20260702-082940.log
2026-07-02 08:29:40  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-07-02 08:29:40  INFO  epochs=100  patience=20  imgsz=640  batch=16  cache=False  workers=2
2026-07-02 08:29:40  INFO  ========================================================================
2026-07-02 08:29:40  INFO  resuming interrupted run from /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-merged/weights/last.pt
2026-07-02 08:31:41  INFO  epoch  11/100  mAP50=0.9904  mAP50-95=0.9100  P=0.9251  R=0.9699
2026-07-02 08:31:56  INFO  epoch  12/100  mAP50=0.9912  mAP50-95=0.9183  P=0.9326  R=0.9615
2026-07-02 08:32:10  INFO  epoch  13/100  mAP50=0.9928  mAP50-95=0.9193  P=0.9520  R=0.9644
2026-07-02 08:32:24  INFO  epoch  14/100  mAP50=0.9939  mAP50-95=0.9235  P=0.9660  R=0.9534
2026-07-02 08:32:38  INFO  epoch  15/100  mAP50=0.9950  mAP50-95=0.9230  P=0.9639  R=0.9661
2026-07-02 08:32:52  INFO  epoch  16/100  mAP50=0.9921  mAP50-95=0.9148  P=0.9511  R=0.9508
2026-07-02 08:33:06  INFO  epoch  17/100  mAP50=0.9916  mAP50-95=0.9035  P=0.9779  R=0.9448
2026-07-02 08:33:20  INFO  epoch  18/100  mAP50=0.9940  mAP50-95=0.9086  P=0.9628  R=0.9602
2026-07-02 08:33:35  INFO  epoch  19/100  mAP50=0.9933  mAP50-95=0.9197  P=0.9644  R=0.9539
2026-07-02 08:33:49  INFO  epoch  20/100  mAP50=0.9945  mAP50-95=0.9135  P=0.9564  R=0.9690
2026-07-02 08:34:03  INFO  epoch  21/100  mAP50=0.9922  mAP50-95=0.9298  P=0.9581  R=0.9435
2026-07-02 08:34:17  INFO  epoch  22/100  mAP50=0.9915  mAP50-95=0.9196  P=0.9684  R=0.9509
2026-07-02 08:34:31  INFO  epoch  23/100  mAP50=0.9948  mAP50-95=0.9123  P=0.9658  R=0.9646
2026-07-02 08:34:45  INFO  epoch  24/100  mAP50=0.9942  mAP50-95=0.9304  P=0.9663  R=0.9801
2026-07-02 08:34:59  INFO  epoch  25/100  mAP50=0.9940  mAP50-95=0.9216  P=0.9121  R=0.9922
2026-07-02 08:35:14  INFO  epoch  26/100  mAP50=0.9950  mAP50-95=0.9292  P=0.9386  R=0.9891
2026-07-02 08:35:28  INFO  epoch  27/100  mAP50=0.9945  mAP50-95=0.9292  P=0.9752  R=0.9830
2026-07-02 08:35:42  INFO  epoch  28/100  mAP50=0.9939  mAP50-95=0.9197  P=0.9579  R=0.9722
2026-07-02 08:35:56  INFO  epoch  29/100  mAP50=0.9950  mAP50-95=0.9179  P=0.9761  R=0.9768
2026-07-02 08:36:10  INFO  epoch  30/100  mAP50=0.9947  mAP50-95=0.9233  P=0.9774  R=0.9794
2026-07-02 08:36:24  INFO  epoch  31/100  mAP50=0.9950  mAP50-95=0.9140  P=0.9718  R=0.9833
2026-07-02 08:36:38  INFO  epoch  32/100  mAP50=0.9945  mAP50-95=0.9215  P=0.9383  R=0.9901
2026-07-02 08:36:53  INFO  epoch  33/100  mAP50=0.9950  mAP50-95=0.9212  P=0.9727  R=0.9825
2026-07-02 08:37:07  INFO  epoch  34/100  mAP50=0.9945  mAP50-95=0.9199  P=0.9553  R=0.9764
2026-07-02 08:37:21  INFO  epoch  35/100  mAP50=0.9950  mAP50-95=0.9199  P=0.9824  R=0.9762
2026-07-02 08:37:35  INFO  epoch  36/100  mAP50=0.9948  mAP50-95=0.9204  P=0.9565  R=0.9838
2026-07-02 08:37:49  INFO  epoch  37/100  mAP50=0.9950  mAP50-95=0.9322  P=0.9823  R=0.9907
2026-07-02 08:38:04  INFO  epoch  38/100  mAP50=0.9950  mAP50-95=0.9299  P=0.9800  R=0.9848
2026-07-02 08:38:18  INFO  epoch  39/100  mAP50=0.9950  mAP50-95=0.9250  P=0.9684  R=0.9899
2026-07-02 08:38:32  INFO  epoch  40/100  mAP50=0.9950  mAP50-95=0.9215  P=0.9302  R=0.9990
2026-07-02 08:38:46  INFO  epoch  41/100  mAP50=0.9950  mAP50-95=0.9281  P=0.9532  R=0.9869
2026-07-02 08:39:00  INFO  epoch  42/100  mAP50=0.9950  mAP50-95=0.9233  P=0.9776  R=0.9855
2026-07-02 08:39:15  INFO  epoch  43/100  mAP50=0.9950  mAP50-95=0.9308  P=0.9754  R=0.9649
2026-07-02 08:39:29  INFO  epoch  44/100  mAP50=0.9945  mAP50-95=0.9334  P=0.9682  R=0.9758
2026-07-02 08:39:43  INFO  epoch  45/100  mAP50=0.9950  mAP50-95=0.9329  P=0.9733  R=0.9778
2026-07-02 08:39:57  INFO  epoch  46/100  mAP50=0.9948  mAP50-95=0.9335  P=0.9781  R=0.9739
2026-07-02 08:40:12  INFO  epoch  47/100  mAP50=0.9947  mAP50-95=0.9206  P=0.9837  R=0.9829
2026-07-02 08:40:26  INFO  epoch  48/100  mAP50=0.9950  mAP50-95=0.9293  P=0.9712  R=0.9793
2026-07-02 08:40:40  INFO  epoch  49/100  mAP50=0.9945  mAP50-95=0.9229  P=0.9684  R=0.9887
2026-07-02 08:40:54  INFO  epoch  50/100  mAP50=0.9950  mAP50-95=0.9331  P=0.9785  R=0.9728
2026-07-02 08:41:08  INFO  epoch  51/100  mAP50=0.9932  mAP50-95=0.9348  P=0.9772  R=0.9653
2026-07-02 08:41:22  INFO  epoch  52/100  mAP50=0.9936  mAP50-95=0.9267  P=0.9610  R=0.9832
2026-07-02 08:41:37  INFO  epoch  53/100  mAP50=0.9940  mAP50-95=0.9355  P=0.9568  R=0.9901
2026-07-02 08:41:51  INFO  epoch  54/100  mAP50=0.9936  mAP50-95=0.9276  P=0.9661  R=0.9866
2026-07-02 08:42:05  INFO  epoch  55/100  mAP50=0.9950  mAP50-95=0.9321  P=0.9823  R=0.9817
2026-07-02 08:42:20  INFO  epoch  56/100  mAP50=0.9950  mAP50-95=0.9316  P=0.9875  R=0.9777
2026-07-02 08:42:34  INFO  epoch  57/100  mAP50=0.9950  mAP50-95=0.9310  P=0.9727  R=0.9897
2026-07-02 08:42:48  INFO  epoch  58/100  mAP50=0.9950  mAP50-95=0.9373  P=0.9686  R=0.9948
2026-07-02 08:43:02  INFO  epoch  59/100  mAP50=0.9950  mAP50-95=0.9283  P=0.9784  R=0.9840
2026-07-02 08:43:16  INFO  epoch  60/100  mAP50=0.9937  mAP50-95=0.9262  P=0.9722  R=0.9758
2026-07-02 08:43:31  INFO  epoch  61/100  mAP50=0.9950  mAP50-95=0.9304  P=0.9776  R=0.9889
2026-07-02 08:43:45  INFO  epoch  62/100  mAP50=0.9950  mAP50-95=0.9406  P=0.9868  R=0.9821
2026-07-02 08:43:59  INFO  epoch  63/100  mAP50=0.9950  mAP50-95=0.9368  P=0.9844  R=0.9900
2026-07-02 08:44:13  INFO  epoch  64/100  mAP50=0.9940  mAP50-95=0.9274  P=0.9798  R=0.9690
2026-07-02 08:44:28  INFO  epoch  65/100  mAP50=0.9940  mAP50-95=0.9283  P=0.9764  R=0.9757
2026-07-02 08:44:42  INFO  epoch  66/100  mAP50=0.9950  mAP50-95=0.9313  P=0.9767  R=0.9915
2026-07-02 08:44:56  INFO  epoch  67/100  mAP50=0.9950  mAP50-95=0.9340  P=0.9781  R=0.9875
2026-07-02 08:45:10  INFO  epoch  68/100  mAP50=0.9950  mAP50-95=0.9316  P=0.9863  R=0.9767
2026-07-02 08:45:24  INFO  epoch  69/100  mAP50=0.9950  mAP50-95=0.9382  P=0.9790  R=0.9852
2026-07-02 08:45:39  INFO  epoch  70/100  mAP50=0.9950  mAP50-95=0.9302  P=0.9817  R=0.9888
2026-07-02 08:45:53  INFO  epoch  71/100  mAP50=0.9950  mAP50-95=0.9265  P=0.9842  R=0.9912
2026-07-02 08:46:07  INFO  epoch  72/100  mAP50=0.9950  mAP50-95=0.9316  P=0.9808  R=0.9899
2026-07-02 08:46:21  INFO  epoch  73/100  mAP50=0.9950  mAP50-95=0.9296  P=0.9774  R=0.9930
2026-07-02 08:46:36  INFO  epoch  74/100  mAP50=0.9950  mAP50-95=0.9333  P=0.9789  R=0.9872
2026-07-02 08:46:50  INFO  epoch  75/100  mAP50=0.9925  mAP50-95=0.9324  P=0.9765  R=0.9764
2026-07-02 08:47:04  INFO  epoch  76/100  mAP50=0.9950  mAP50-95=0.9355  P=0.9823  R=0.9779
2026-07-02 08:47:18  INFO  epoch  77/100  mAP50=0.9948  mAP50-95=0.9271  P=0.9874  R=0.9807
2026-07-02 08:47:32  INFO  epoch  78/100  mAP50=0.9950  mAP50-95=0.9323  P=0.9871  R=0.9862
2026-07-02 08:47:46  INFO  epoch  79/100  mAP50=0.9950  mAP50-95=0.9364  P=0.9909  R=0.9871
2026-07-02 08:48:01  INFO  epoch  80/100  mAP50=0.9950  mAP50-95=0.9365  P=0.9871  R=0.9820
2026-07-02 08:48:15  INFO  epoch  81/100  mAP50=0.9950  mAP50-95=0.9369  P=0.9878  R=0.9914
2026-07-02 08:48:29  INFO  epoch  82/100  mAP50=0.9950  mAP50-95=0.9332  P=0.9888  R=0.9861
2026-07-02 08:48:29  INFO  early stopping triggered at epoch 82 (best epoch 62)
2026-07-02 08:48:33  INFO  epoch  83/100  mAP50=0.9950  mAP50-95=0.9399  P=0.9869  R=0.9819
2026-07-02 08:48:33  INFO  early stopping triggered at epoch 83 (best epoch 62)
2026-07-02 08:48:33  INFO  training finished -- best weights: /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-merged/weights/best.pt
2026-07-02 08:48:33  INFO  training complete -- running final validation on the test split
2026-07-02 08:48:33  INFO  ========================================================================
